game_id,anchor_fen,moves,winner
g16725,3k1r2/p1q1n1bp/Bpn2pp1/2p5/Q3P3/2B2N2/PP3PPP/2R3K1 b - - 1 22,c7f4 c1d1 d8e8 a6b5 f4c7 b2b4 f6f5 c3g7 f8f7 g7c3 f5e4 f3e5 f7f6 e5c6 e7c6 c3f6 e8f7 b5c6 f7f6 b4c5 b6c5 c6e4 c7e5 a4c6 f6g7 d1d7 g7h6 g2g3 e5a1 g1g2 a1a2 e4f3 a7a5 c6c7 c5c4 d7h7 h6g5 c7e7 g5f5 h7f7,white
g115252,b4k1r/3qnp2/3N2pp/2p1P1b1/2P5/1P3N1P/1P3PP1/3QR1K1 w - - 0 24,h3h4 g5f4 e5e6 f7e6 g2g3 f4d6 f3e5 d7b7 f2f3 d6e5 e1e5 f8f7 g1g2 b7c7 g2f2 c7e5 f3f4 e5e4 d1e2 e4g2 f2e3 g2g3 e3d2 g3f4 d2d1 h8d8 d1c2 a8e4 c2c3 d8d3 e2d3 e4d3 c3d3 f4h4 d3e3 e7f5 e3f3 h4g3 f3e4 g3e3,black
g20504,6k1/pp3pp1/8/8/8/1B3PP1/P2q2KP/8 w - - 0 41,g2h3 d2c3 h3g2 c3b2 g2h3 b2c3 h3g4 c3b2 g4h3 b7b6 h3g4 a7a5 g4h3 b6b5 h3g4 a5a4 g4h3 a4b3 a2b3 b2b3 h3g4 b3c3 g4f5 b5b4 f5e4 b4b3 e4d5 b3b2 d5d6 b2b1q d6d5 b1e1 d5d6 c3d3 d6c5 e1c1 c5b6 d3b3 b6a5 c1a1,black
g50024,r3k2r/1pp1n1p1/1b1pn3/5p2/3p1P1N/P5P1/2PB3P/RN2K2R w KQkq - 0 19,d2b4 c7c5 b4d2 c5c4 d2b4 b6c5 b4c5 e6c5 b1d2 d6d5 h4f3 d4d3 f3d4 c4c3 d2f3 d3d2 e1d1 c5e4 h1f1 a8a6 d4b5 e8g8 b5c7 a6b6 f3d4 f8f6 a3a4 f6h6 a4a5 b6b2 a5a6 b7a6 c7a6 h6h2 a6c7 e4f2 d1e2 f2g4 e2d1 g4e3,black
g28543,r1bqkbnr/p2ppp1p/2p3p1/8/3QP3/5N2/PPP2PPP/RNB1K2R b KQkq - 0 6,g8f6 e4e5 f6d5 e5e6 f7f6 e6d7 d8d7 e1g1 f8g7 f3g5 e7e5 f1e1 f6g5 e1e5 e8f8 d4c5 f8g8 e5g5 d5f4 c5c4 f4e6 b1c3 c8a6 c4b3 h7h6 g5g3 g8h7 c1e3 e6g5 e3g5 h6g5 g3h3 g7h6 a1d1 d7e7 h3e3 e7f6 d1d7 h6g7 e3h3,white
g84949,1r3rk1/2R2p2/pp1p1bp1/3B4/PP6/6P1/5P1P/2R3K1 b - - 3 25,g8g7 h2h4 f6e5 g1g2 a6a5 b4b5 e5d4 c1c4 d4c5 c4f4 b8d8 d5f7 g7h6 g3g4 g6g5 h4g5 h6g5 g2g3 d6d5 f4f5 g5h6 g4g5 h6g7 f7d5 g7h8 f5f8 d8f8 c7f7 f8d8 f7f5 h8g7 f2f4 d8e8 g3g4 e8e2 f5f7 g7h8 g5g6 c5d4 f7h7,white
g109910,rn1q1rk1/p1pbbppp/1p2pn2/3p4/3P3P/1P1BPN2/PBPNQPP1/R3K2R b KQ - 0 9,c7c5 d4c5 b6c5 h4h5 f6e4 d3e4 d5e4 f3e5 f7f5 e1c1 b8c6 e5c6 d7c6 d2e4 d8a5 e4c3 a8b8 h5h6 g7g6 e2c4 c6d5 c3d5 e6d5 c4d5 f8f7 c1b1 b8f8 g2g4 f5g4 d5e5 e7f6 e5d5 f6b2 b1b2 g8h8 h1g1 f7f5 d5d7 a5b6 d7g7,white
g42066,r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,f1d3 c8g4 c1g5 e7e6 e1g1 f8d6 d3b5 d8c7 h2h3 g4f3 d1f3 d6e7 f1e1 a7a6 g5f6 a6b5 f6g7 h8g8 g7h6 e8c8 h6f4 e7d6 c3b5 c7e7 b5d6 d8d6 f4d6 e7d6 f3f7 g8g6 f7e8 c8c7 a2a3 c6d4 g1f1 d6h2 e8e7 c7c6 g2g3 h2h1,black
g101139,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4 d7d5 c2c4 d5c4 e2e4 g8f6 e4e5 f6d5 f1c4 e7e6 g1e2 b8c6 e1g1 f8e7 b1c3 e8g8 c3d5 e6d5 c4d3 c8e6 e2g3 h7h6 d3c2 f7f5 d1h5 d8d7 c1e3 f5f4 h5g6 f4e3 g6h7 g8f7 c2g6,white
g12507,r3r1k1/pp3pp1/5q1p/3Q1b2/2p5/2P1P3/P3BPPP/2R2RK1 b - - 0 19,f6g5 d5f3 a8b8 e2c4 g8f8 c4e2 f5g4 f3g4 g5g4 e2g4 g7g6 g4f3 f7f6 c1b1 b7b6 f1d1 g6g5 c3c4 e8d8 d1d8 b8d8 f3d5 f8e7 g1f1 e7d6 e3e4 d6e5 f1e2 e5d4 b1b3 d4c5 e2d3 a7a5 b3b5 c5d6 b5b6 d6e5 g2g3 h6h5 b6e6,white
g161302,r1b4k/1pp2B2/p4p2/4p3/8/3P4/PPN2bPP/5R1K w - - 0 24,f1f2 f6f5 f2e2 h8g7 f7b3 g7f6 d3d4 e5e4 d4d5 c8d7 c2d4 c7c5 d4e6 d7b5 e6c7 a8c8 c7b5 a6b5 h2h4 c5c4 b3c2 c8d8 d5d6 d8d6 h4h5 f6g5 e2f2 d6f6 b2b3 e4e3 f2e2 f5f4 b3c4 b5c4 h1h2 g5h5 h2h3 h5g5 a2a4 f6h6,black
g159325,r1b1k2r/1p2b1pp/1qn1pn2/p1pp4/3P4/P1PB1N2/1P3PPP/RNBQR1K1 b kq - 1 10,e8g8 f3e5 c5c4 e5c6 b7c6 d3c2 c8d7 b1d2 c6c5 d2f3 c5d4 f3d4 f8e8 a1b1 e7c5 c1e3 e6e5 d4f5 d7f5 c2f5 d5d4 c3d4 e5d4 e3g5 d4d3 d1f3 e8e1 b1e1 a8f8 g5f6 f8f6 f3d5 f6f7 e1e8 c5f8 h2h3 b6b2 e8f8 g8f8 d5d8,white
g84640,rn1qkbnr/pp3ppp/2p1p3/8/3P1B2/N1P2NP1/PP3P1P/R2QKR2 b Qkq - 1 11,h7h6 a3c4 f8e7 d1e2 g8f6 c4e5 f6d5 f4d2 e8g8 e1c1 e7f6 g3g4 b8d7 h2h4 d7e5 f3e5 f6h4 f2f4 d5e7 g4g5 h6g5 f4g5 e7f5 f1h1 h4g5 d2g5 d8g5 c1b1 f5g3 e2h2 g3h1 d1h1 g5h6 h2g2 h6f4 b1a1 g7g6 e5g6 f7g6 g2g6,white
g50206,8/6pb/1p3p1p/2kP4/1P2P1P1/2K2B1P/8/8 b - - 0 39,c5b5 f3e2 b5a4 e2d3 h7g8 b4b5 g8f7 c3d4 f7e8 e4e5 f6e5 d4e5 e8b5 d3b5 a4b5 d5d6 b5c5 d6d7 b6b5 d7d8q b5b4 d8d3 b4b3 d3b3 c5c6 b3f3 c6d7 f3f7 d7d8 f7g7 d8c8 g7h6 c8b8 h6g7 b8a8 e5d6 a8b8 d6c6 b8a8 g7b7,white
g128797,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 c5d4 c1f4 g8f6 f4g5 e6e5 c4d5 f8e7 d5c6 d7c6 f3e5 e8g8 h2h4 f6e4 d1e2 e4g5 h4g5 e7g5 e2h5 g5h6 b1a3 d8e7 a3c4 f7f6 e1d1 f6e5 f2f4 e5e4 c4e5 f8f4 e5g4 c8g4 h5g4 f4g4 h1e1 g4g2 c2c4 e7g5 a1c1 g5d2,black
g119292,r2q2k1/ppp1b1pp/2n2n2/3pp3/8/PQPPNP1P/1P3P2/R1B2RK1 w - - 1 15,e3g4 d8d7 f1e1 c6a5 b3c2 e7d6 b2b4 a5c6 c1g5 f6h5 c2b3 d7f7 b3d1 a8f8 g1g2 h5f4 g5f4 f7f4 e1e3 h7h5 g4h2 e5e4 d3e4 f4h2 g2f1 h2h3 f1e2 d5e4 f3e4 h3g4 f2f3 g4g2 e2d3 c6e5 d3d4 f8d8 d1b3 g8h8 e3e1 g2d2,black
g114488,6k1/ppp3pp/2n5/8/8/8/bn2K3/8 w - - 0 34,e2d2 a2f7 d2c2 b2a4 c2b1 a4b6 b1c1 g7g5 c1d2 h7h5 d2e2 h5h4 e2f3 g5g4 f3g4 a7a5 g4h4 a5a4 h4g3 a4a3 g3f2 a3a2 f2e2 a2a1q e2d2 a1a2 d2e3 a2c4 e3f3 c4d4 f3g3 d4e4 g3h3 e4g6 h3h2 g6g4 h2h1 f7d5 h1h2 g4g2,black
g95692,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR b KQkq - 2 4,a7a6 c1f4 b7b6 d1d2 c8b7 g1f3 d7d6 f1e2 f8e7 f4g3 c6d4 e1c1 g8f6 c1b1 d8d7 e4e5 f6g4 f3d4 c5d4 e2g4 d4c3 d2c3 b7g2 h1g1 g2b7 e5d6 e7d6 g3d6 d7d6 g4h3 d6h2 c3g7 e8c8 h3e6 f7e6 g7e7 h2f2 g1g7 f2f3 e7c7,white
g54120,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4 e7e6 e2e4 c7c5 g1f3 c5d4 f3d4 b8c6 b1c3 f8b4 f1e2 d8b6 c1e3 b4c3 b2c3 b6a5 e1g1 a5c3 d4b5 c3e5 b5d6 e8f8 f2f4 e5f6 e4e5 f6e7 e3c5 e7d8 d6b7 f8e8 b7d8 c6d8 d1d6 d8b7 d6f8,white
g44732,3r1b1k/1ppq1P1p/p5np/3N2r1/1P2P3/P6P/B4QP1/3R1RK1 b - - 0 28,f8g7 d5f6 d7d1 f1d1 d8d1 g1h2 g6f8 h3h4 g5g6 e4e5 d1a1 h4h5 g6g5 e5e6 f8e6 a2e6 a1a3 f6d7 g5h5 e6h3 h5g5 f7f8q g7f8 f2f8 g5g8 f8f6 g8g7 h3e6 a3g3 f6f8 g7g8 e6g8 g3g8 f8f6 g8g7 d7f8 b7b6 f8e6 a6a5 f6g7,white
g122597,r1bq1rk1/ppp2ppp/3p1nn1/3P4/1PPN1P2/P2B4/6PP/RNBQ1R1K b - - 0 13,c8g4 d1c2 f8e8 h2h3 g4d7 b1c3 c7c5 d4f5 d7f5 d3f5 e8e7 f5d3 f6h5 h1h2 d8e8 c3e4 f7f5 e4d6 e8d7 d6f5 e7f7 g2g4 h5f4 c1f4 a8e8 f4g3 f7f6 b4c5 g6e5 f5d6 e5f3 f1f3 f6f3 d3h7 g8f8 d6e8 d7e8 g3d6 f8f7 c2g6,white
g45489,rnb1k2r/pp2ppb1/1qpp1np1/7p/3P1P2/1PP1PNP1/P5BP/RNBQ1RK1 b kq - 0 9,h5h4 f3h4 h8h4 g3h4 c8g4 g2f3 g4f3 d1f3 f6h5 c1b2 b8d7 b1d2 e8c8 d2c4 b6c7 e3e4 b7b5 c4e3 c7b6 g1h1 d8h8 e3g2 h5f6 e4e5 d6e5 d4e5 f6d5 c3c4 b5c4 b3c4 b6b2 c4d5 c6d5 f3d5 c8d8 f1d1 d8e8 d5d7 e8f8 d7d8,white
