puzzle_id,fen,key_moves,mate_in,rating
6b0RH,r3r1k1/pR3ppp/8/2q1p3/8/5Q2/2P2PPP/5RK1 w - - 1 21,f3f7,2,957
EyeIx,1qkr3r/1pbnn1p1/5p2/PQ2p2b/8/4PB2/2N4B/1R2KN1R w K - 0 35,f3b7,2,1528
t2xwC,6r1/p4p1k/2pp1pr1/1p2p2b/4P2P/1P1P1P1K/1PPQNb1N/5R2 b - - 4 28,g6g3,2,1063
HqcpA,4r1k1/pQ3p1p/6p1/8/2B5/4qNK1/6PP/6r1 w - - 6 31,b7f7,2,1388
B3BdM,3R4/pp2r1k1/4p1q1/2P2p2/8/1P4p1/PK6/7Q w - - 0 47,h1h8,2,815
WtJNJ,8/k1p5/Pp5p/2rR4/1N2p1B1/5p1P/5P2/5K2 b - - 1 41,c5c1,2,901
cxhfh,3rr1k1/pQ2Rp1p/6pB/q7/8/8/P4PPP/4R1K1 b - - 0 22,a5e1,2,1353
g9wPp,6k1/1p3p2/p1bq1p1Q/3p2pN/3P3P/1PP2P1K/2r3P1/6R1 b - - 0 38,c6d7,2,1586
NGehH,3r2k1/ppQ2ppp/5b1q/3p4/P4P2/6PP/1PP2n1K/4R2R w - - 1 27,c7d8,2,932
jSvoM,r2qbrk1/1p4p1/p3p2P/2P1b1p1/3P4/3Q4/PB6/R4RK1 w - - 0 26,h6h7,2,1654
PXic3,8/1R4p1/p1p2k2/2Pq1p1r/1P4p1/P7/4QP2/6K1 w - - 0 39,e2e7,2,999
Q55fw,1k5r/ppp2Rp1/2p1p2r/Q3P3/6q1/3P4/PPP4P/R6K w - - 6 22,a5c7,2,1107
RBAc6,6k1/2R3p1/p4bP1/1p6/5P2/6K1/r1p5/8 w - - 0 35,c7c8,2,619
C7LCd,r4rk1/pb3p1p/1p1pqp2/5N2/2P1pP2/2Q5/P5PP/2R1K2R w K - 4 20,c3g3,2,1661
KTvUY,5rk1/1p3p2/2p2Q1R/4p1p1/4Pn2/2P2Pqb/PP4P1/6RK b - - 1 30,h3g2,2,1175
9iz7b,4r1k1/5ppp/3qr3/1p1P4/2p5/2Q4P/1P1R1PP1/3R2K1 b - - 0 30,e6e1,2,828
pYxWV,rn4k1/1p3ppp/8/p3r3/2B1nq2/PP5P/1B4P1/R2Q2K1 w - - 0 22,d1d8,2,599
GwQHi,4r2k/p7/7p/1PPQ3N/P2b1q2/8/5PPP/5RK1 b - - 1 34,f4f2,2,1623
7bhUt,1r6/p1p1kpp1/8/4q3/5R2/6PQ/1r5P/3R3K w - - 2 34,h3d7,2,1860
6qCjm,r7/pp2k1p1/n1p1BpQ1/3p4/3P4/P1q4P/2P3PK/8 w - - 9 28,g6f7,2,871
DKSKH,r3k2r/1R3np1/p5p1/2q1P3/P4PPb/4p3/2P4P/3Q1RK1 w kq - 0 24,d1d7,2,1179
w4Jt1,1r6/p1p3pk/4Q2p/2p5/5q2/P5RP/5P1K/5b2 w - - 0 34,e6g6,2,904
4kGLD,8/8/8/5p2/7p/1r4kP/4R1P1/6K1 b - - 10 50,b3b1,2,920
JfUiX,3R4/5pkp/5pr1/p7/b3P3/5Pq1/3R2PQ/7K b - - 5 37,g3e1,2,1912
GpTBB,r5k1/5pp1/7p/p1p5/1p1q4/1P1B4/2P1R3/1K2R3 w - - 0 36,e2e8,2,574
p0myl,6k1/1pp2p1p/3p2p1/3P1b2/1PP1P3/6Pq/1Q1N3P/7K b - - 0 25,f5e4,2,945
7jPI8,3r2k1/6pp/p2p2p1/2rq4/1p2Q1P1/7P/PPP5/1K2RR2 w - - 0 29,e4e8,2,1305
Po6Ya,6k1/2R3p1/7p/8/3Rb1PK/4Pr1P/8/8 b - - 3 52,g7g5,2,1121
u6S45,2R2Bk1/1p3p1p/5np1/3Pp3/4Pb2/1P3P2/r3r1PP/5RK1 w - - 12 32,f8h6,2,1452
r1rsH,r3r3/pp5p/1k2N3/2b5/3Q4/1q4PK/1P3P1P/8 w - - 9 32,d4c5,2,1061
oSO2v,3R4/1p3k2/7p/4prpn/4N1K1/P4P2/1Pr3PP/7R b - - 7 30,f5f4,2,1798
keKgB,k2r4/2Rb1p2/1b3prp/1Q1Pp3/4P3/PB6/1P3qPP/2R4K w - - 1 26,b5a6,2,1583
mUHPK,r5kr/p1p1Q1p1/2p2p2/3p3p/7q/B1PB1P1b/P1P2P2/4RRK1 b - - 3 18,h4g5,2,1309
O0DlE,3r2k1/5pp1/p3p2p/2P5/1pR1n3/4P3/PP2RPPP/6K1 b - - 1 22,d8d1,2,548
uFaWp,r5k1/ppp2p2/7p/3p3Q/3n4/2N1qP2/PPP3PP/1K3B1R b - - 0 19,e3e1,2,746
YRMlH,2r3k1/pq3ppp/3Qb3/8/8/P1P1B2P/6P1/3R2K1 w - - 1 25,d6d8,2,787
ti4WK,1r3rk1/pp3ppp/2pP2n1/3n1Q2/5P1q/2P1P1PP/PP1NB3/R1B1K2R b KQ - 0 18,h4g3,2,900
udJtA,5k2/R6R/6p1/8/3r3p/1P3P1P/P2r4/7K b - - 3 30,d2d1,2,849
c1fSa,r4rk1/p1pq1ppp/2p2n2/8/4PB1N/2NP2Pb/PPP4P/R2Q2KR b - - 0 13,d7d4,2,995
i4ahn,8/p3Q1pk/2pR1p1p/4pPq1/8/1P6/1PP2PPP/6K1 b - - 0 37,g5c1,2,773
9NHqp,5rk1/p5Bp/2p3p1/q2p4/3Pp3/2P5/1KPQ1P2/R6R b - - 0 28,f8b8,2,1390
YkRXN,3rr2k/pp2N1p1/4p1Qp/1b3p2/3q4/7R/PP3PPP/1R4K1 w - - 2 27,h3h6,2,1104
rbhdD,r1b1k2r/3n1pp1/2p5/1p2p1Qq/8/P7/NP3P2/K2RR3 w kq - 0 25,e1e5,2,1374
sexYd,8/8/4P3/5kPK/8/4R3/6r1/8 b - - 0 65,g2h2,2,1403
M7FkJ,2b4k/p5p1/2p4p/4Q3/2B5/7P/PP1r1q2/R5RK b - - 0 29,f2f3,2,1432
YHmvH,r5k1/pp2R1pp/b1pN4/2P5/3P4/8/7r/2K1R3 w - - 0 27,e7e8,2,705
ZOivv,2q1r1k1/bQ3p2/P1Pp2pp/B2P4/7r/7P/6P1/1R3R1K b - - 8 38,h4h3,2,1032
X4NHD,r6r/p1q2pkN/2pb4/1p4P1/3P3Q/4P3/PP3PP1/1K1b4 w - - 6 27,h4h6,2,1083
E21t8,r7/p4kp1/2p1p1r1/2Ppp3/5P2/1P2B3/P4P1K/R2Q2R1 b - - 0 29,a8h8,2,1147
ZO7w9,1r1q3k/1p2npb1/3p1n1P/p3p3/8/2NB1P2/PPP5/1K4RR w - - 0 26,h6g7,2,1164
Ohiou,5rk1/p4rpp/8/1p3q2/2p4Q/2P1P3/PP2R1PP/R5K1 b - - 0 24,f5f1,2,733
lEeVq,1k6/pb2q3/1p1Np3/8/QP6/2N5/P5r1/3RKR2 b - - 3 29,e7h4,2,1276
X6Hep,2kb2Q1/1b6/1pnB1q2/p2p4/P2P3p/4P2P/1P1r4/R5RK w - - 0 29,g8g4,2,1685
