puzzle_id,fen,key_moves,mate_in,rating
sp003086,3R2K1/5B2/4Q2q/8/5P2/2k5/8/8 w - - 10 69,e6b3,1,0
sp002740,6R1/8/2k1p2r/4p1K1/4P2P/3B4/1q3q2/1q6 b - - 24 58,f2h4 f2f4,1,0
sp002061,r2k1n1Q/ppp1bp2/7p/1B4B1/8/P1P1p3/1P1NbPPP/R3K2R w KQ - 0 14,h8f8,1,0
sp001925,8/1k4p1/5rPp/4K2P/p3PP2/P1p5/8/3q4 b - - 4 45,d1d6,1,0
sp002282,8/1p2k3/2p1P2p/p3K3/P1p4P/2P5/8/3q1r2 b - - 2 35,d1d5,1,0
sp000741,q7/2K5/8/5p2/2P2kB1/2b5/3rb3/8 b - - 5 50,c3a5,1,0
sp001006,7R/8/8/3n2p1/5bP1/2n1nK2/3k4/4r3 b - - 37 66,e1f1,1,0
sp001056,Q7/7k/3p4/3R1PP1/2P1K3/8/2B5/1Q6 w - - 1 49,b1b7,1,0
sp000948,r2B3R/5kb1/p1pp1n2/5B2/6p1/1PP2N2/P5P1/R3K3 w Q - 0 23,f3g5,1,0
sp000176,2r4R/1pp2p2/5Pk1/6P1/p4K2/R1PP1N2/2Q5/4r3 w - - 1 34,h8h6 f3h4,1,0
sp002222,8/1p6/P3kbp1/4p1p1/4K1P1/2P5/5q2/1n5r b - - 0 38,f2e2,1,0
sp001104,r4r2/2q3RQ/p1p2k2/4b3/1p3p2/P1P4P/1P6/2K4R w - - 0 31,h7g6,1,0
sp002160,3Q4/5K2/8/7p/7P/8/pr6/bk1n4 w - - 1 79,d8d1,1,0
sp001515,r3k2r/4P3/2Pp1P1p/5K2/5P2/P4B2/8/b4n2 w kq - 0 30,f3h5,1,0
sp002173,7R/8/4k3/4p3/p2pP2b/P2K1p2/5q2/6b1 b - - 23 66,f2e2,1,0
sp001313,8/1p1n4/2k3pp/1pp1PP2/8/2PQ1NKP/5PP1/8 w - - 4 33,d3d6,1,0
sp000490,3Q3r/8/8/1P2k2p/1p1p1p2/3P1p2/6q1/4K1b1 b - - 2 43,g2e2,1,0
sp002020,5KR1/8/8/8/8/3Q1p2/3n1P2/3k2b1 w - - 13 63,g8g1,1,0
sp002863,1Q1B4/3KR3/5P2/5B1p/k6P/1p6/1P6/5r2 w - - 1 72,e7e4,1,0
sp001360,1K4R1/8/2p2P2/8/8/5p2/6p1/3q2rk w - - 2 50,g8h8,1,0
